No.,DexID,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Legendary,Sprite,Good Starter
014,0014,Kakuna,Bug,Poison,4,1,3,1,3,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,kakuna.png,Yes
015,0015,Beedrill,Bug,Poison,5,2,5,2,5,2,4,2,4,2,5,Swarm,,Sniper,,,Yes,Amateur,,,beedrill.png,
015,0015M1,Mega-Beedrill,Bug,Poison,6,4,8,4,8,1,3,1,2,2,5,Adaptability,,,,,,Ace,,,beedrill-mega.png,
016,0016,Pidgey,Normal,Flying,3,2,4,2,4,1,3,1,3,1,3,Keen Eye,Tangled Feet,Big Pecks,,Yes,,Beginner,,,pidgey.png,Yes
017,0017,Pidgeotto,Normal,Flying,4,2,4,2,5,2,4,2,4,2,4,Keen Eye,Tangled Feet,Big Pecks,,Yes,,Amateur,,,pidgeotto.png,
018,0018,Pidgeot,Normal,Flying,5,2,5,3,6,2,5,2,5,2,5,Keen Eye,Tangled Feet,Big Pecks,,,Yes,Ace,,,pidgeot.png,
018,0018M1,Mega-Pidgeot,Normal,Flying,6,2,5,3,7,2,5,3,7,2,5,No Guard,,,,,,Pro,,,pidgeot-mega.png,
019,0019,Rattata,Normal,,3,2,4,2,5,1,3,1,3,1,3,Run Away,Guts,Hustle,,Yes,,Starter,,,rattata.png,Yes
019,0019A,Alolan Rattata,Dark,Normal,3,2,4,2,5,1,3,1,3,1,3,Gluttony,Hustle,Thick Fat,,Yes,,Starter,,,rattata-alola.png,Yes
020,0020,Raticate,Normal,,4,2,5,3,6,2,4,2,4,2,5,Run Away,Guts,Hustle,,,,Amateur,,,raticate.png,
020,0020A,Alolan Raticate,Dark,Normal,4,2,5,2,5,2,5,1,3,2,5,Gluttony,Hustle,Thick Fat,,,,Amateur,,,raticate-alola.png,
021,0021,Spearow,Normal,Flying,3,2,4,2,5,1,3,1,3,1,3,Keen Eye,,Sniper,,Yes,,Beginner,,,spearow.png,Yes
022,0022,Fearow,Normal,Flying,4,2,5,3,6,2,4,2,4,2,4,Keen Eye,,Sniper,,,,Amateur,,,fearow.png,
023,0023,Ekans,Poison,,3,2,4,2,4,1,3,1,3,2,4,Intimidate,Shed Skin,Unnerve,,Yes,,Beginner,,,ekans.png,Yes
024,0024,Arbok,Poison,,5,3,6,2,5,2,5,2,4,2,5,Intimidate,Shed Skin,Unnerve,,,,Amateur,,,arbok.png,
025,0025,Pikachu,Electric,,4,2,4,2,5,1,3,2,4,2,4,Static,,Lightning Rod,,Yes,,Beginner,,,pikachu.png,Yes
026,0026,Raichu,Electric,,5,2,5,3,6,2,4,3,6,2,5,Static,,Lightning Rod,,,,Amateur,,,raichu.png,
026,0026A,Alolan Raichu,Electric,Psychic,5,2,5,3,6,2,4,3,6,2,5,Surge Surfer,,,,,,Amateur,,,raichu-alola.png,
027,0027,Sandshrew,Ground,,3,2,5,1,3,2,5,1,3,1,3,Sand Veil,,Sand Rush,,Yes,,Beginner,,,sandshrew.png,Yes
027,0027A,Alolan Sandshrew,Ice,Steel,3,2,5,1,3,2,5,1,2,1,3,Snow Cloak,,Slush Rush,,Yes,,Beginner,,,sandshrew-alola.png,Yes
028,0028,Sandslash,Ground,,4,3,6,2,4,3,6,2,4,2,4,Sand Veil,,Sand Rush,,,,Amateur,,,sandslash.png,
028,0028A,Alolan Sandslash,Ice,Steel,4,3,6,2,4,3,7,1,3,2,4,Snow Cloak,,Slush Rush,,,,Amateur,,,sandslash-alola.png,
029,0029,Nidoran F,Poison,,3,2,4,1,3,2,4,1,3,1,3,Poison Point,Rivalry,Hustle,,Yes,,Beginner,F,,nidoran-f.png,Yes
030,0030,Nidorina,Poison,,4,2,4,2,4,2,4,2,4,2,4,Poison Point,Rivalry,Hustle,,Yes,,Amateur,F,,nidorina.png,
031,0031,Nidoqueen,Poison,Ground,5,3,6,2,5,2,5,2,5,2,5,Poison Point,Rivalry,Sheer Force,,Yes,,Ace,F,,nidoqueen.png,
032,0032,Nidoran M,Poison,,3,2,4,2,4,1,3,1,3,1,3,Poison Point,Rivalry,Hustle,,Yes,,Beginner,M,,nidoran-m.png,Yes
033,0033,Nidorino,Poison,,4,2,5,2,4,2,4,2,4,2,4,Poison Point,Rivalry,Hustle,,,,Amateur,M,,nidorino.png,
034,0034,Nidoking,Poison,Ground,5,3,6,2,5,2,5,2,5,2,5,Poison Point,Rivalry,Sheer Force,,,,Ace,M,,nidoking.png,
035,0035,Clefairy,Fairy,,4,2,4,1,3,2,4,2,4,2,4,Cute Charm,Magic Guard,Friend Guard,,Yes,,Beginner,,,clefairy.png,Yes
036,0036,Clefable,Fairy,,5,2,5,2,4,2,5,3,6,2,5,Cute Charm,Magic Guard,Unaware,,,,Amateur,,,clefable.png,
037,0037,Vulpix,Fire,,3,1,3,2,4,1,3,2,4,2,4,Flash Fire,,Drought,,Yes,,Beginner,,,vulpix.png,Yes
037,0037A,Alolan Vulpix,Ice,,3,1,3,2,4,1,3,2,4,2,4,Snow Cloak,,Snow Warning,,Yes,,Beginner,,,vulpix-alola.png,Yes
038,0038,Ninetales,Fire,,4,2,5,3,6,2,5,2,5,3,6,Flash Fire,,Drought,,,,Amateur,,,ninetales.png,
038,0038A,Alolan Ninetales,Ice,,4,2,4,3,6,2,5,2,5,3,6,Snow Cloak,,Snow Warning,,,,Amateur,,,ninetales-alola.png,
039,0039,Jigglypuff,Normal,Fairy,4,2,4,1,3,1,3,2,4,1,3,Cute Charm,Competitive,Friend Guard,,Yes,,Beginner,,,jigglypuff.png,Yes
040,0040,Wigglytuff,Normal,Fairy,7,2,5,2,4,2,4,2,5,2,4,Cute Charm,Competitive,Frisk,,,,Amateur,,,wigglytuff.png,
041,0041,Zubat,Poison,Flying,3,2,4,2,4,1,3,1,3,1,3,Inner Focus,,Infiltrator,,Yes,,Beginner,,,zubat.png,Yes
042,0042,Golbat,Poison,Flying,4,2,5,2,5,2,5,2,4,2,5,Inner Focus,,Infiltrator,,Yes,,Amateur,,,golbat.png,
043,0043,Oddish,Grass,Poison,3,2,4,1,3,2,4,2,5,2,4,Chlorophyll,,Run Away,,Yes,,Beginner,,,oddish.png,Yes
044,0044,Gloom,Grass,Poison,4,2,4,2,3,2,5,2,5,2,5,Chlorophyll,,Stench,,Yes,,Amateur,,,gloom.png,
045,0045,Vileplume,Grass,Poison,5,2,5,2,4,2,5,3,6,2,5,Chlorophyll,,Effect Spore,,,,Amateur,,,vileplume.png,
046,0046,Paras,Bug,Grass,3,2,5,1,3,2,4,2,4,2,4,Effect Spore,Dry Skin,Damp,,Yes,,Beginner,,,paras.png,Yes
047,0047,Parasect,Bug,Grass,4,3,6,1,3,2,5,2,5,2,5,Effect Spore,Dry Skin,Damp,,,,Amateur,,,parasect.png,
048,0048,Venonat,Bug,Poison,3,2,4,1,3,2,4,2,4,2,4,Compound Eyes,Tinted Lens,Run Away,,Yes,,Beginner,,,venonat.png,Yes
049,0049,Venomoth,Bug,Poison,4,2,4,2,4,2,5,2,5,2,5,Shield Dust,Tinted Lens,Wonder Skin,,,,Amateur,,,venomoth.png,
050,0050,Diglett,Ground,,3,2,4,3,6,1,3,1,3,1,3,Sand Veil,Arena Trap,Sand Force,,Yes,,Beginner,,,diglett.png,Yes
050,0050A,Alolan Diglett,Ground,Steel,3,2,4,2,5,1,3,1,3,1,4,Sand Veil,Tangling Hair,Sand Force,,Yes,,Beginner,,,diglett-alola.png,Yes
051,0051,Dugtrio,Ground,,4,2,5,3,7,2,4,2,4,2,5,Sand Veil,Arena Trap,Sand Force,,,,Amateur,,,dugtrio.png,
051,0051A,Alolan Dugtrio,Ground,Steel,4,3,6,3,6,2,4,2,4,2,5,Sand Veil,Tangling Hair,Sand Force,,,,Amateur,,,dugtrio-alola.png,
052,0052,Meowth,Normal,,3,2,4,2,5,1,3,1,3,1,3,Pickup,Technician,Unnerve,,Yes,,Beginner,,,meowth.png,Yes
052,0052A,Alolan Meowth,Dark,,3,1,3,2,5,1,3,2,4,1,3,Pickup,Technician,Rattled,,Yes,,Beginner,,,meowth-alola.png,Yes
052,0052G,Galarian Meowth,Steel,,3,2,5,1,3,2,4,1,3,1,3,Pickup,Tough Claws,Unnerve,,Yes,,Beginner,,,meowth-galar.png,Yes
053,0053,Persian,Normal,,4,2,5,3,6,2,4,2,4,2,4,Limber,Technician,Unnerve,,,,Amateur,,,persian.png,
053,0053A,Alolan Persian,Dark,,4,2,4,3,6,2,4,2,5,2,4,Fur Coat,Technician,Rattled,,,,Amateur,,,persian-alola.png,
054,0054,Psyduck,Water,,3,2,4,2,4,2,4,2,4,2,4,Damp,Cloud Nine,Swift Swim,,Yes,,Beginner,,,psyduck.png,Yes
055,0055,Golduck,Water,,4,2,5,2,5,2,5,3,6,2,5,Damp,Cloud Nine,Swift Swim,,,,Amateur,,,golduck.png,
056,0056,Mankey,Fighting,,3,2,5,2,5,1,3,1,3,2,4,Vital Spirit,Anger Point,Defiant,,Yes,,Beginner,,,mankey.png,Yes
057,0057,Primeape,Fighting,,4,3,6,3,6,2,4,2,4,2,5,Vital Spirit,Anger Point,Defiant,,,,Amateur,,,primeape.png,
058,0058,Growlithe,Fire,,3,2,5,2,5,2,4,2,5,2,4,Intimidate,Flash Fire,Justified,,Yes,,Beginner,,,growlithe.png,Yes
059,0059,Arcanine,Fire,,4,3,6,3,6,2,5,3,6,2,5,Intimidate,Flash Fire,Justified,,,,Ace,,,arcanine.png,
060,0060,Poliwag,Water,,3,2,4,2,5,1,3,1,3,1,3,Water Absorb,Damp,Swift Swim,,Yes,,Beginner,,,poliwag.png,Yes
061,0061,Poliwhirl,Water,,4,2,4,2,5,2,4,2,4,2,4,Water Absorb,Damp,Swift Swim,,Yes,,Amateur,,,poliwhirl.png,
062,0062,Poliwrath,Water,Fighting,5,3,6,2,5,3,6,2,5,2,5,Water Absorb,Damp,Swift Swim,,,Yes,Ace,,,poliwrath.png,
063,0063,Abra,Psychic,,3,1,3,2,5,1,2,3,6,1,3,Synchronize,Inner Focus,Magic Guard,,Yes,,Beginner,,,abra.png,Yes
064,0064,Kadabra,Psychic,,4,1,3,3,6,1,3,3,7,2,5,Synchronize,Inner Focus,Magic Guard,,Yes,,Amateur,,,kadabra.png,
065,0065,Alakazam,Psychic,,5,2,4,3,7,2,4,3,7,3,6,Synchronize,Inner Focus,Magic Guard,,,Yes,Ace,,,alakazam.png,
065,0065M1,Mega-Alakazam,Psychic,,6,2,4,4,8,2,4,4,9,3,6,Trace,,,,,,Pro,,,alakazam-mega.png,
066,0066,Machop,Fighting,,3,2,5,1,3,2,4,1,3,1,3,Guts,No Guard,Steadfast,,Yes,,Beginner,,,machop.png,Yes
067,0067,Machoke,Fighting,,4,3,6,2,4,2,5,2,4,2,4,Guts,No Guard,Steadfast,,Yes,,Amateur,,,machoke.png,
068,0068,Machamp,Fighting,,5,3,7,2,4,2,5,2,4,2,5,Guts,No Guard,Steadfast,,,,Ace,,,machamp.png,
069,0069,Bellsprout,Grass,Poison,3,2,5,1,3,1,3,2,5,1,3,Chlorophyll,,Gluttony,,Yes,,Starter,,,bellsprout.png,Yes
070,0070,Weepinbell,Grass,Poison,4,2,5,2,4,2,4,2,5,2,4,Chlorophyll,,Gluttony,,Yes,,Beginner,,,weepinbell.png,
071,0071,Victreebel,Grass,Poison,5,3,6,2,5,2,4,3,6,2,5,Chlorophyll,,Gluttony,,,,Amateur,,,victreebel.png,
072,0072,Tentacool,Water,Poison,3,1,3,2,5,1,3,2,4,3,6,Clear Body,Liquid Ooze,Rain Dish,,Yes,,Beginner,,,tentacool.png,Yes
073,0073,Tentacruel,Water,Poison,5,2,5,3,6,2,4,2,5,3,7,Clear Body,Liquid Ooze,Rain Dish,,,,Amateur,,,tentacruel.png,
074,0074,Geodude,Rock,Ground,3,2,5,1,3,3,6,1,3,1,3,Rock Head,Sturdy,Sand Veil,,Yes,,Beginner,,,geodude.png,Yes
074,0074A,Alolan Geodude,Rock,Electric,3,2,5,1,3,3,6,1,3,1,3,Magnet Pull,Sturdy,Galvanize,,Yes,,Beginner,,,geodude-alola.png,Yes
075,0075,Graveler,Rock,Ground,4,3,6,1,3,3,6,2,4,2,4,Rock Head,Sturdy,Sand Veil,,Yes,,Amateur,,,graveler.png,
075,0075A,Alolan Graveler,Rock,Electric,4,3,6,1,3,3,6,2,4,2,4,Magnet Pull,Sturdy,Galvanize,,Yes,,Amateur,,,graveler-alola.png,
076,0076,Golem,Rock,Ground,5,3,8,2,4,3,7,2,4,2,4,Rock Head,Sturdy,Sand Veil,,,,Ace,,,golem.png,
076,0076A,Alolan Golem,Rock,Electric,5,3,7,2,4,3,7,2,4,2,4,Magnet Pull,Sturdy,Galvanize,,,,Ace,,,golem-alola.png,
077,0077,Ponyta,Fire,,3,2,5,2,5,2,4,2,4,2,4,Run Away,Flash Fire,Flame Body,,Yes,,Beginner,,,ponyta.png,Yes
077,0077G,Galarian Ponyta,Psychic,,3,2,5,2,5,2,4,2,4,2,4,Run Away,Pastel Veil,Anticipation,,Yes,,Amateur,,,ponyta-galar.png,
078,0078,Rapidash,Fire,,4,3,6,3,6,2,5,2,5,2,5,Run Away,Flash Fire,Flame Body,,,,Amateur,,,rapidash.png,
078,0078G,Galarian Rapidash,Psychic,Fairy,4,3,6,3,6,2,5,2,5,2,5,Run Away,Pastel Veil,Anticipation,,,,Ace,,,rapidash-galar.png,
079,0079,Slowpoke,Water,Psychic,4,2,4,1,2,2,4,1,3,1,3,Oblivious,Own Tempo,Regenerator,,Yes,,Beginner,,,slowpoke.png,Yes
079,0079G,Galarian Slowpoke (provisional),Psychic,,3,2,4,1,2,2,4,1,3,1,3,Gluttony,Own Tempo,Regenerator,,Yes,,Beginner,,,slowpoke-galar.png,
080,0080,Slowbro,Water,Psychic,5,2,5,1,3,4,6,3,6,2,5,Oblivious,Own Tempo,Regenerator,,,Yes,Amateur,,,slowbro.png,
080,0080G,Galarian Slowbro (provisional),Poison,Psychic,4,3,6,1,3,3,6,3,6,2,4,Quick Draw,Own Tempo,Regenerator,,,,Amateur,,,slowbro-galar.png,
080,0080M,Mega-Slowbro,Water,Psychic,5,2,5,1,2,4,9,3,7,2,5,Shell Armor,,,,,,Ace,,,slowbro-mega.png,
081,0081,Magnemite,Electric,Steel,3,2,4,2,5,2,4,2,4,2,4,Magnet Pull,Sturdy,Analytic,,Yes,,Beginner,N,,magnemite.png,Yes
082,0082,Magneton,Electric,Steel,4,2,4,2,5,3,6,3,7,2,6,Magnet Pull,Sturdy,Analytic,,Yes,,Amateur,N,,magneton.png,
083,0083,Farfetch'd,Normal,Flying,4,2,5,2,4,2,4,2,4,2,4,Keen Eye,Inner Focus,Defiant,,,,Beginner,,,farfetchd.png,
083,0083G,Galarian Farfetch'd,Fighting,,3,2,5,2,4,2,4,2,4,2,4,Steadfast,,Scrappy,,Yes,,Beginner,,,farfetchd-galar.png,
084,0084,Doduo,Normal,Flying,3,2,5,2,5,2,4,1,3,1,3,Run Away,Early Bird,Tangled Feet,,Yes,,Beginner,,,doduo.png,Yes
085,0085,Dodrio,Normal,Flying,4,3,6,3,6,2,5,2,4,2,4,Run Away,Early Bird,Tangled Feet,,,,Amateur,,,dodrio.png,
086,0086,Seel,Water,,3,2,4,2,4,2,4,2,4,2,5,Thick Fat,Hydration,Ice Body,,Yes,,Beginner,,,seel.png,Yes
087,0087,Dewgong,Water,Ice,4,2,5,2,5,2,5,2,5,3,6,Thick Fat,Hydration,Ice Body,,,,Amateur,,,dewgong.png,
088,0088,Grimer,Poison,,3,2,5,1,3,2,4,1,3,2,4,Stench,Sticky Hold,Poison Touch,,Yes,,Beginner,,,grimer.png,Yes
088,0088A,Alolan Grimer,Poison,Dark,3,2,5,1,3,2,4,1,3,2,4,Poison Touch,Gluttony,Power of Alchemy,,Yes,,Beginner,,,grimer-alola.png,Yes
089,0089,Muk,Poison,,5,3,6,2,4,2,5,2,4,3,6,Stench,Sticky Hold,Poison Touch,,,,Amateur,,,muk.png,
089,0089A,Alolan Muk,Poison,Dark,5,3,6,2,4,2,5,2,4,3,6,Poison Touch,Gluttony,Power of Alchemy,,,,Amateur,,,muk-alola.png,
090,0090,Shellder,Water,,3,2,4,1,3,3,6,2,4,1,3,Shell Armor,Skill Link,Overcoat,,Yes,,Beginner,,,shellder.png,Yes
091,0091,Cloyster,Water,Ice,4,3,6,2,5,4,9,2,5,2,4,Shell Armor,Skill Link,Overcoat,,,,Amateur,,,cloyster.png,
092,0092,Gastly,Ghost,Poison,4,1,3,2,5,1,3,3,6,1,3,Levitate,,,,Yes,,Beginner,,,gastly.png,Yes
093,0093,Haunter,Ghost,Poison,4,2,4,3,6,2,4,3,6,2,4,Levitate,,,,Yes,,Amateur,,,haunter.png,
094,0094,Gengar,Ghost,Poison,5,2,4,3,6,2,4,3,7,2,5,Cursed Body,,,,,Yes,Ace,,,gengar.png,
094,0094M1,Mega-Gengar,Ghost,Poison,6,2,4,3,7,2,5,3,9,3,6,Shadow Tag,,,,,,Pro,,,gengar-mega.png,
095,0095,Onix,Rock,Ground,8,2,4,2,5,4,8,1,3,2,4,Rock Head,Sturdy,Weak Armor,,Yes,,Amateur,,,onix.png,
096,0096,Drowzee,Psychic,,3,2,4,1,3,2,4,1,3,2,5,Insomnia,Forewarn,Inner Focus,,Yes,,Beginner,,,drowzee.png,Yes
097,0097,Hypno,Psychic,,4,2,5,2,4,2,5,2,5,3,6,Insomnia,Forewarn,Inner Focus,,,,Amateur,,,hypno.png,
098,0098,Krabby,Water,,3,3,6,2,4,2,5,1,3,1,3,Hyper Cutter,Shell Armor,Sheer Force,,Yes,,Beginner,,,krabby.png,Yes
099,0099,Kingler,Water,,4,3,7,2,5,3,6,2,4,2,4,Hyper Cutter,Shell Armor,Sheer Force,,,,Amateur,,,kingler.png,
100,0100,Voltorb,Electric,,3,1,3,3,6,2,4,2,4,2,4,Soundproof,Static,Aftermath,,Yes,,Beginner,N,,voltorb.png,Yes
101,0101,Electrode,Electric,,4,2,4,4,8,2,5,2,5,2,5,Soundproof,Static,Aftermath,,,,Amateur,N,,electrode.png,
102,0102,Exeggcute,Grass,Psychic,3,1,3,1,3,2,5,2,4,2,4,Chlorophyll,,Harvest,,Yes,,Beginner,,,exeggcute.png,Yes
103,0103,Exeggutor,Grass,Psychic,5,3,6,2,4,2,5,3,7,2,5,Chlorophyll,,Harvest,,,,Amateur,,,exeggutor.png,
103,0103A,Alolan Exeggutor,Grass,Dragon,5,3,6,2,4,2,5,3,7,2,5,Frisk,,Harvest,,,,Amateur,,,exeggutor-alola.png,
104,0104,Cubone,Ground,,3,2,4,1,3,3,6,2,4,2,4,Rock Head,Lightning Rod,Battle Armor,,Yes,,Beginner,,,cubone.png,Yes
105,0105,Marowak,Ground,,4,2,5,2,4,3,6,2,4,2,5,Rock Head,Lightning Rod,Battle Armor,,,Yes,Amateur,,,marowak.png,
105,0105A,Alolan Marowak,Fire,Ghost,4,2,5,2,4,3,6,2,4,2,5,Cursed Body,Lightning Rod,Rock Head,,,,Amateur,,,marowak-alola.png,
106,0106,Hitmonlee,Fighting,,4,3,7,2,5,2,4,1,3,3,6,Limber,Reckless,Unburden,,,,Amateur,M,,hitmonlee.png,
107,0107,Hitmonchan,Fighting,,4,3,6,2,4,3,6,1,3,3,6,Keen Eye,Iron Fist,Inner Focus,,,,Amateur,M,,hitmonchan.png,
108,0108,Lickitung,Normal,,3,2,4,1,3,2,5,2,4,2,5,Own Tempo,Oblivious,Cloud Nine,,Yes,,Amateur,,,lickitung.png,Yes
109,0109,Koffing,Poison,,3,2,4,1,3,3,6,2,4,2,4,Levitate,Neutralizing Gas,Stench,,Yes,,Beginner,,,koffing.png,Yes
110,0110,Weezing,Poison,,4,2,5,2,4,3,7,2,5,2,5,Levitate,Neutralizing Gas,Stench,,,,Amateur,,,weezing.png,
110,0110G,Galarian Weezing,Poison,Fairy,4,2,5,2,4,3,7,2,5,2,5,Levitate,Neutralizing Gas,Misty Surge,,,,Amateur,,,weezing-galar.png,
111,0111,Rhyhorn,Ground,Rock,3,2,5,1,3,3,6,1,3,1,3,Lightning Rod,Rock Head,Reckless,,Yes,,Beginner,,,rhyhorn.png,Yes
112,0112,Rhydon,Ground,Rock,5,3,7,1,3,3,7,2,4,2,4,Lightning Rod,Rock Head,Reckless,,Yes,,Amateur,,,rhydon.png,
113,0113,Chansey,Normal,,12,1,2,2,4,1,2,1,3,3,6,Natural Cure,Serene Grace,Healer,,Yes,,Beginner,F,,chansey.png,Yes
114,0114,Tangela,Grass,,3,2,4,2,4,3,6,3,6,1,3,Chlorophyll,Leaf Guard,Regenerator,,Yes,,Amateur,,,tangela.png,Yes
115,0115,Kangaskhan,Normal,,5,3,6,2,5,2,5,1,3,2,5,Early Bird,Scrappy,Inner Focus,,,Yes,Amateur,F,,kangaskhan.png,
115,0115M1,Mega-Kangaskhan,Normal,,6,3,7,3,6,3,6,2,4,3,6,Parental Bond,,,,,,Ace,F,,kangaskhan-mega.png,
116,0116,Horsea,Water,,3,2,4,2,4,2,5,2,5,1,3,Swift Swim,Sniper,Damp,,Yes,,Beginner,,,horsea.png,Yes
117,0117,Seadra,Water,,4,2,4,2,5,3,6,3,6,2,4,Swift Swim,Sniper,Damp,,Yes,,Amateur,,,seadra.png,
118,0118,Goldeen,Water,,3,2,4,2,4,2,4,1,3,2,4,Swift Swim,Water Veil,Lightning Rod,,Yes,,Beginner,,,goldeen.png,Yes
119,0119,Seaking,Water,,4,3,6,2,4,2,4,2,4,2,5,Swift Swim,Water Veil,Lightning Rod,,,,Amateur,,,seaking.png,
120,0120,Staryu,Water,,3,2,4,2,5,2,4,2,5,2,4,Illuminate,Natural Cure,Analytic,,Yes,,Beginner,N,,staryu.png,Yes
121,0121,Starmie,Water,Psychic,4,2,5,3,6,2,5,3,6,2,5,Illuminate,Natural Cure,Analytic,,,,Amateur,N,,starmie.png,
122,0122,Mr. Mime,Psychic,Fairy,4,2,4,2,5,2,4,3,6,3,7,Soundproof,Filter,Technician,,,,Beginner,,,mr-mime.png,
122,0122G,Galarian Mr. Mime,Ice,Psychic,4,2,4,3,6,2,4,2,5,2,5,Vital Spirit,Screen Cleaner,Ice Body,,,,Amateur,,,mr-mime-galar.png,
123,0123,Scyther,Bug,Flying,3,3,6,3,6,2,5,2,4,2,5,Swarm,Technician,Steadfast,,Yes,,Amateur,,,scyther.png,Yes
124,0124,Jynx,Ice,Psychic,4,2,4,3,6,1,3,3,6,3,6,Oblivious,Forewarn,Dry Skin,,,,Amateur,F,,jynx.png,
125,0125,Electabuzz,Electric,,4,2,5,3,6,2,4,3,6,2,5,Static,,Vital Spirit,,Yes,,Amateur,,,electabuzz.png,
126,0126,Magmar,Fire,,4,3,6,2,5,2,4,3,6,2,5,Flame Body,,Vital Spirit,,Yes,,Amateur,,,magmar.png,
127,0127,Pinsir,Bug,,4,3,7,2,5,3,6,2,4,2,5,Hyper Cutter,Mold Breaker,Moxie,,,Yes,Amateur,,,pinsir.png,
127,0127M1,Mega-Pinsir,Bug,Flying,5,4,8,3,6,3,7,2,4,2,5,Aerilate,,,,,,Ace,,,pinsir-mega.png,
128,0128,Tauros,Normal,,4,3,6,3,6,3,6,1,3,2,5,Intimidate,Anger Point,Sheer Force,,,,Amateur,M,,tauros.png,
129,0129,Magikarp,Water,,3,1,2,2,5,2,4,1,2,1,3,Swift Swim,,Rattled,,Yes,,Starter,,,magikarp.png,Yes
130,0130,Gyarados,Water,Flying,7,3,7,2,5,2,5,2,4,3,6,Intimidate,,Moxie,,,Yes,Ace,,,gyarados.png,
130,0130M1,Mega-Gyarados,Water,Dark,8,4,8,2,5,3,6,2,5,3,7,Mold Breaker,,,,,,Pro,,,gyarados-mega.png,
131,0131,Lapras,Water,Ice,6,2,5,2,4,2,5,2,5,3,6,Water Absorb,Shell Armor,Hydration,,,,Amateur,,,lapras.png,
132,0132,Ditto,Normal,,4,2,4,2,4,2,4,2,4,2,4,Limber,,Imposter,,,,Amateur,N,,ditto.png,
133,0133,Eevee,Normal,,3,2,4,2,4,2,4,2,4,2,4,Run Away,Adaptability,Anticipation,,Yes,Yes,Beginner,,,eevee.png,Yes
134,0134,Vaporeon,Water,,6,2,4,2,4,2,4,3,6,3,6,Water Absorb,,Hydration,,,,Amateur,,,vaporeon.png,
135,0135,Jolteon,Electric,,4,2,4,3,7,2,4,3,6,3,6,Volt Absorb,,Quick Feet,,,,Amateur,,,jolteon.png,
136,0136,Flareon,Fire,,4,3,7,2,4,2,4,3,6,3,6,Flash Fire,,Guts,,,,Amateur,,,flareon.png,
