Name,Type,DmgType,Power,Damage1,Damage2,Accuracy1,Accuracy2,Target,Effect,Description
Sticky Web,bug,Support,0,,,Insight,Nature,Battlefield,Entry Hazard. Foe Pokemon that enter the battlefield get a Dexterity Reduction of 1. Pokemon with the Levitate ability and Flying Type Pokemon are immune to this effect.,"The Pokemon quickly covers the arena with a sticky web, newly arrived foes will have trouble moving with ease."
String Shot,bug,Support,0,,,Insight,Nature,All Foes,Targets All Foes in Range. Reduce the Dexterity of those affected.,The user shoots a silk string that ties and limits the movement of its foe.
Struggle Bug,bug,Special,1,Special,,Dexterity,Channel,Foe,Reduce the foe's Special.,"The Pokemon lays on its back and struggles with the foe, disrupting the foe's concentration."
Tail Glow,bug,Support,0,,,Insight,Nature,User,Increase the User's Special by 3.,The user emits a strong light. This Pokemon will stare at its brightness to enter a trance.
Twineedle,bug,Physical,1,Strength,,Dexterity,Brawl,Foe,Double action. Ranged. Roll 2 Chance Dice to Poison the foe per hit.,"The Pokemon stabs the foe with its stinger, claws or spikes infused with poison."
U-Turn,bug,Physical,3,Strength,,Dexterity,Brawl,Foe,The user switches out after dealing damage. The replacement Pokemon arrives to ready to fight. Roll its initiative Switcher Move.,"The user strikes its foe, then quickly goes back to safety while another party Pokemon takes its place."
X-Scissor,bug,Physical,3,Strength,,Strength,Brawl,Foe,-,The Pokemon uses its scythes or claws as if they were a pair of scissors to cut through the foe.
Assurance,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,If the User has already received damage from the target this Round add 2 Extra Dice to the Damage Pool.,"The user retaliates against the foe, the rush of adrenaline allows it to hit harder."
Baddy Bad,dark,Special,3,Special,,Dexterity,Channel,Foe,"If successful, for the next 4 Rounds the User and Allies will receive 1 less damage from Physical Attacks. This effect does not stack. If the user of this Move is at its Final Stage of Evolution, this move fails.",The Pokemon acts like a thug and channels its own dark aura as protection for itself and its allies.
Beat Up,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,"If the attack is successful, add 2 Dice of Damage for every ally Pokemon that spends an action to help the user perform this move. Up to 3 allies may join.","The user calls other Pokemon to aid it in battle, together they give a beating to the foe."
Bite,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,Roll 3 Chance Dice to Flinch the foe.,The user lands a vicious bite that may leave an ugly bruise.
Brutal Swing,dark,Physical,2,Strength,,Dexterity,Brawl,All Foes,Lethal. Target all Foes in range.,"The Pokemon starts attacking at full force with its claws, anyone unfortunate enough to be in its path will end up severely wounded."
Crunch,dark,Physical,3,Strength,,Dexterity,Brawl,Foe,Lethal. Roll 1 Chance Dice to reduce foe's Defense.,The Pokemon uses its fangs to viciously tear whatever it is biting.
Dark Pulse,dark,Special,3,Special,,Insight,Channel,Random Foe,Targets random foe. Roll 2 Chance Dice to Flinch the foe.,"The Pokemon sends a wave of dark feelings that affect those who are most vulnerable, hurting the foe and leaving it unable to act."
Dark Void,dark,Support,0,,,Insight,Channel,All Foes,All Foes in Range have the Sleep condition.  -3 Accuracy.,"A portal opens and transports all foes to a world of darkness, inside they can't see or feel anything, it's like they are trapped in an eternal slumber."
Darkest Lariat,dark,Physical,3,Strength,,Dexterity,Brawl,Foe,Ignore the the foe's Attribute Increases that would decrease this Move's damage.,"The user swings both of its arms against the target, there's no armor thick enough to stop the strike."
Embargo,dark,Support,0,,,Tough,Intimidate,Foe,The target cannot use its held item nor can its trainer use items on it.,The user quickly takes out the held item of a Pokemon. It also empties the bag of the trainer and forces everyone to stay away from their own properties. Evildoers master this Move.
Fake Tears,dark,Support,0,,,Cute,Perform,Foe,Reduce the foe's Sp. Defense by 2.,"The user stops battling and feigns to be crying, disrupting the foe's mood to battle and making it lower its guard."
False Surrender,dark,Physical,3,Strength,,Insight,Allure,Foe,Never Fail.,"The Pokemon bows in defeat, begging for forgiveness, then backstabs its gullible foe."
Feint Attack,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,Never Fail.,The Pokemon approaches the foe disarmingly then attacks suddenly without giving any time to react.
Flatter,dark,Support,0,,,Cool,Allure,Foe,Increase the foe's Special. Confuse foe.,"The user starts flattering and admiring its opponent. It sure makes it feel good about itself, but why?"
Fling,dark,Physical,1,Strength,,Dexterity,Brawl,Foe,"Ranged. Add up to 4 Dice to the Damage Pool, depending on the held item thrown. See P. 432 for more info.",The usr takes its held item and throws it at the opponent. You may get it back after the fight.
Foul Play,dark,Physical,3,,,Dexterity,Brawl,Foe,S.T.A.B of the user and Strength of the foe apply for this move's damage.,The user feint attacks then tricks the foe who ends up hurting itself.
Hone Claws,dark,Support,0,,,Insight,Nature,User,Increase the User's Strength and Accuracy.,The Pokemon sharpens its claws to perform more precise attacks.
Hyperspace Fury,dark,Physical,4,Strength,,Dexterity,Brawl,Foe,Never Fail. Ignores the effect of any Shield Move the Foe might have used. Reduce the user's Defense.,"The Pokemon opens portals to attack with each one of its arms, bypassing all defenses and making it impossible to escape, however, the user's defense also gets neglected."
Jaw Lock,dark,Physical,3,Strength,,Strength,Brawl,Foe,Both User and Target are Blocked.,The user will capture its foe in a crushing jaw grip. It won't let go no matter how much you try to seperate them. The only way it will release its victim is by fainting.
Knock Off,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,The target Pokemon loses its held item.,The Pokemon makes a quick tackle that knocks off anything the foe was holding.
Memento,dark,Support,0,,,Will,Channel,Foe,The user faints. Reduce foe's Strength. Dexterity. Special. Defense and Sp. Defense by 2. Lasts for a whole scene.,The user unleashes all its remaining power to send a wave of hopeless thoughts to haunt the foe's mind and soul. The target will be left in grief.
Nasty Plot,dark,Support,0,,,Clever,Alert,User,Increase the user's Special by 2.,The Pokemon starts plotting on how to defeat the enemy. Its evil laugh reveals the bad intentions.
Night Daze,dark,Special,3,Special,,Dexterity,Channel,Foe,Roll 4 Chance Dice to Reduce foe's Accuracy.,The user forms a pitch black wave that hurts the foe. This darkness may remain obstructing the target's vision.
Night Slash,dark,Physical,3,Strength,,Dexterity,Brawl,Foe,Lethal. High Critical.,The user quickly slashes through the target as soon as it gets the chance. The intent to end the target's life is frightening.
Obstruct,dark,Support,0,,,Dexterity,Intimidate,User,"Priority 4. Shield Move. * If the Foe used a Non-Ranged Physical Move against the user, Reduce the Foes Defense by 2.","In a reckless action, the user charges against the foe to stop its momentum and block its incoming attack. Being so close allows the user to reach for weak spots."
Parting Shot,dark,Support,0,,,Tough,Intimidate,Foe,"Reduce foe's Strength and Special. The user switches out, the new Pokemon arrives ready to fight. Roll for its initiative. Switcher Move.","The user threatens the foe, leaving it too scared to pursuit the user or overwhelm the ally that just switched in the battlefield."
Payback,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,Add 2 Extra Dice to the Damage Pool if the target already damaged you this Round.,The Pokemon tackles the target with hatred and vengeance.
Power Trip,dark,Physical,1,Strength,,Dexterity,Brawl,Foe,"Add 1 Dice to the Damage Pool of this Move for every Attribute increase the user has. Up to 7 Dice may be added this way. (ie. the user has 2 increased points on Defense, add 2 Damage dice).","In the heat of the battle, the Pokemon gets carried away, relishing in its own power."
Punishment,dark,Physical,1,Strength,,Dexterity,Brawl,Foe,Add up to 7 Dice to the Damage Pool for every Increased Attribute the foe has. (ie. Foe has 1 Increased dice in Dexterity & Strength that equals +2 Dice on the Damage Pool of this attack).,The user takes advantage of its foe's strengths to use them against it.
Pursuit,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,If the foe is Switching Out or escaping. Add 2 Dice to the Damage Pool and Priority 1 to this move.,The Pokemon chases the foe to deliver a final blow before it escapes.
Quash,dark,Support,0,,,Tough,Intimidate,Foe,"For the rest of the scene, the target will go last in the order of Initiative.",The user represses the foe with intimidation so it has to think twice before acting.
Snarl,dark,Special,2,Special,,Insight,Perform,Foe,Sound Based. Reduce the foe's Special.,The Pokemon viciously snarls showing its teeth. Its menacing look will make the foe cower in fear.
Snatch,dark,Support,0,,,Clever,Stealth,Foe,"Erase any Increase or Decrease on the foe's Traits, and place them on the User instead.",The user analyzes the advantages of the foe then makes them their own.
Sucker Punch,dark,Physical,3,Strength,,Dexterity,Brawl,Foe,Priority 1. This move can only be used after the Target rolls a damaging move.,"While the foe is preparing its attack, the user takes advantage and strikes."
Switcheroo,dark,Support,0,,,Insight,Stealth,Foe,User and Foe switch their Held Item. If only one Pokemon is holding an item it gives it away.,The user quickly switches the held items before the foe can realize what happened.
Taunt,dark,Support,0,,,Tough,Intimidate,Foe,The target Pokemon can only perform Damaging Moves and Evasion actions for the next 4 Rounds.,The user mocks and teases the target to make it attack in a raging fury.
Thief,dark,Physical,2,Strength,,Dexterity,Brawl,Foe,The user steals the foe's Held Item.,The Pokemon strikes its foe and takes the opportunity to steal whatever the target was holding.
Throat Chop,dark,Physical,3,Strength,,Dexterity,Brawl,Foe,"The target cannot use any ""Sound Based"" Move for the rest of the scene.",A heinous attack to a Pokemon's throat that will leave them unable to make a sound for hours.
Topsy-Turvy,dark,Support,0,,,Tough,Intimidate,Foe,Any Decreases on the foe's Attributes become Increases and vice versa.,"The user changes the nature of its target, bad things become good and good things become bad."
Torment,dark,Support,0,,,Tough,Intimidate,Foe,The target cannot use the same Moves it used during the last Round. Lasts 4 Rounds.,"The user torments and enrages the foe, making it unable to keep using its strategy."
Breaking Swipe,dragon,Physical,2,Strength,,Dexterity,Brawl,All Foes,All Foes in Range. Reduce the Strength of those affected.,"The Pokemon will use its tail to make a long swipe at its foes. A few cracks are heard, and the foe will limp afterwards."
Clanging Scales,dragon,Special,4,Special,,Dexterity,Perform,All Foes,Sound Based. Reduce User's Defense.,"The Pokemon rattles the scales of its armor creating a frightening noise in the area. Some of its scales fall of as a result, leaving some areas exposed."
Clangorous Soul,dragon,Support,0,,,Tough,Perform,User,"User deals Damage to itself equal to Half of its total HP rounded down. Increase User's Strength, Dexterity, Special, Defense and Sp. Defense.","The Pokemon shakes its scales around, to sharpen, shed, and rearrange them. It's a bit rough, but in the end the Pokemon feels more focused for battle."
Core Enforcer,dragon,Special,4,Special,,Special,Channel,Foe,"If successful and the target of this Move has already inflicted damage this Round, remove the Foe's Ability for the rest of the Scene. (Battle Bond, Comatose, Disguise, Multitype, Power Construct, RKS System, Schooling, Stance Change & Shields Down are exceptions)","Zygarde shoots a beam that fractures the target to its core, rendering it unable to sustain even the most basic of its traits."
Draco Meteor,dragon,Special,6,Special,,Special,Channel,Foe,Lethal. Reduce User's Special by 2. -1 Accuracy.,The Pokemon calls a comet that falls from the sky to deal a brutal amount of damage. This feat demands a lot from the user.
Dragon Breath,dragon,Special,2,Special,,Dexterity,Channel,Foe,Roll 3 Chance Dice to Paralyze the foe.,The user lets out a mystical green breath that hinders the movement of anyone it touches.
Dragon Claw,dragon,Physical,3,Strength,,Dexterity,Brawl,Foe,-,The Pokemon uses its strong claws to deliver a fierce tearing blow.
Dragon Dance,dragon,Support,0,,,Tough,Perform,User,Increase the User's Strength and Dexterity.,The user performs a vigorous and mystical dance that boosts the fighting spirit and reflexes.
Dragon Darts,dragon,Physical,2,Strength,,Dexterity,Channel,Foe,Ranged. Double Action,"The Pokemon's head is a nest for its less evolved forms, the younglings will sometimes be used as projectiles."
Dragon Hammer,dragon,Physical,3,Strength,,Dexterity,Brawl,Foe,-,The Pokemon swings its body as a hammer and leaves the foe nailed to the cracked ground.
Dragon Pulse,dragon,Special,3,Special,,Dexterity,Channel,Foe,-,The user opens its mouth and sends a powerful wave of energy.
Dragon Rage,dragon,Special,0,,,Dexterity,Channel,Foe,This moves always inflicts 2 damage.,A dual colored flame that always leaves the same burn marks on everything it touches.
Dragon Rush,dragon,Physical,4,Strength,,Dexterity,Brawl,Foe,Roll 2 Chance Dice to Flinch the foe. -2 Accuracy.,The user charges rapidly against the foe. The strike may leave thetarget gasping for air.
Dragon Tail,dragon,Physical,2,Strength,,Dexterity,Brawl,Foe,"Low Priority 1. The target is hit and knocked back to its trainer, stunned. Forcing the trainer to send another Pokemon. In the wild the target is sent away. Switcher Move. -1 Accuracy.",This Powerful tail strike can knockdown anyone up to 100 feet away!
Dual Chop,dragon,Physical,2,Strength,,Dexterity,Brawl,Foe,Double Action. -1 Accuracy.,The Pokemon strikes the foe with brutal blows.
Dynamax Cannon,dragon,Special,4,Special,,Special,Channel,Foe,"If the Foe is under the effects of Dynamax, This Move becomes Lethal and you add 4 Extra Dice to the Damage Pool.","The Pokemon shoots a heavy projectile, if the foe is under the effects of the Dynamax phenomenon all the energy will be concentrated and explode on the target."
Eternabeam,dragon,Special,7,Special,,Special,Channel,Foe,Lethal. Must Recharge. -1 Accuracy.,The Pokemon shoots an incredibly powerful beam towards the sky. The energy released might keep traveling through space thousands of years later.
Outrage,dragon,Physical,5,Strength,,Strength,Brawl,Random Foe,Rampage.,"The user awakens their primal instinct as a dragon and unleashes its uncontrollable fury, destroying everything in its path. After that, the Pokemon is left disoriented and confused."
Roar Of Time,dragon,Special,6,Special,,Special,Channel,Foe,"Lethal. If successful, the target can't have any action until next Round. -1 Accuracy.","Through a terrifying roar, Dialga bounds the forces of time on a single area, the unfortunate target will be trapped in a time warp, growing old in a matter of seconds."
Spacial Rend,dragon,Special,4,Special,,Special,Channel,Foe,Lethal. High Critical.,"With a flicker of its claws, Palkia defragments the space around its foe. Those who survive rarely do peserve their original shape."
Twister,dragon,Special,2,Special,,Dexterity,Channel,Foe,Roll 2 Chance Dice to Flinch the foes.,The Pokemon lets out a spiral current that surrounds the foes. They can't move until they free themselves from this terrible whirlwind.
Aura Wheel,electric,Physical,4,Strength,,Dexterity,Brawl,Foe,"If successful, Increase user's Dexterity. If the user is in “Hangry” Form this Move is considered to be Dark-Type.",The Pokemon happily runs into a wheel made of electricity that strikes the foe. If the user is feeling hungry the wheel's energy is replaced by a dark aura.
Bolt Beak,electric,Physical,2,Strength,,Dexterity,Brawl,Foe,"If the Target hasn't had a Turn this Round, add 2 Extra Dice to the Damage pool.","The Pokemon charges with its beak and pecks its foe, if the foe is not fast it will be zapped by a jolt of electricity."
Bolt Strike,electric,Physical,6,Strength,,Strength,Brawl,Foe,Roll 2 Chance Dice to Paralyze the foe. -2 Accuracy.,"Zekrom delivers a powerful tackle while discharging lightning through its body. The foe is rendered unable to move, either by the strike or the electricity"
Buzzy Buzz,electric,Special,3,Special,,Dexterity,Channel,Foe,"Paralyze the foe. If the user of this Move is at its Final Stage of Evolution, this move fails.","The Pokemon releases a jolt of static electricity from its fur, that makes a cute zapping sound. It's all fun and games until somebody gets paralyzed."
Charge,electric,Support,0,,,Insight,Nature,User,Add 2 Dice to the Damage Pool to the next Electric Damaging move the user performs.,The user concentrates all the electricity in its body to be released.
Charge Beam,electric,Special,2,Special,,Dexterity,Channel,Foe,Roll 5 Chance Dice to Increase the User's Special. -1 Accuracy.,The Pokemon lets out an electric beam then uses the remaining charge to boost its power.
Discharge,electric,Special,3,Special,,Dexterity,Channel,Area,Roll 3 Chance Dice to Paralyze those affected.,The user releases its stored electricity in all directions.
Eerie Impulse,electric,Support,0,,,Insight,Nature,Foe,Reduce foe's Special by 2.,"The user radiates electricity around itself, the foe will think twice about attacking."
Electric Terrain,electric,Support,0,,,Insight,Nature,Battlefield,"For the Next 4 Rounds all Electric Attacks will deal 1 Extra Dice of Damage. Anyone on the ground will be cured from ""Sleep"" Status.","The user electrifies the terrain, making it impossible to get a good night's sleep on it."
Electrify,electric,Support,0,,,Insight,Nature,Foe,The Damage from the next attack made by the target will be Electric Type.,"The user hurls an electric projectile to the target, the foe is charged with electricity until it is released by the foe's next attack."
Electro Ball,electric,Special,2,Special,,Dexterity,Channel,Foe,The user adds 1 Dice to the Damage Pool for every Dexterity point the User has that surpasses the foe's. Up to 4 Dice may be added.,"The Pokemon creates a small electricity orb that is hurled at the target. If the user is faster, the impact will be bigger."
Electroweb,electric,Special,2,Special,,Dexterity,Channel,All Foes,Reduce Dexterity of those affected.,Shoots an electrified web at all foes to restrict their movement. Walking through this web can be painful.
Fusion Bolt,electric,Physical,4,Strength,,Strength,Channel,Foe,"Lethal. If the Move “Fusion Flare” has already been used by anyone this Round, add 4 Extra Dice to the Damage Pool of this Move.","The Pokemon strikes with a devastating electric impact, said impact will grow larger and stronger if there's a special kind of fire nearby."
Ion Deluge,electric,Support,0,,,Insight,Nature,Battlefield,"For the rest of the Scene, Normal Type Moves will deal damage as if they were Electric Type Moves.",The user amplifies all electrically charged particles in the environment. The results are shocking!
Magnet Rise,electric,Support,0,,,Insight,Nature,User,For the Next 4 Rounds the User gains immunity against Ground Type Moves.,"The Pokemon uses the magnetic field of the earth to repel itself from the ground, allowing it to float for a short period of time."
Magnetic Flux,electric,Support,0,,,Insight,Nature,User and Allies,Increase the Defense and Sp. Defense of User and all its Electric and Steel Type Allies.,"The Pokemon bends the magnetic field around itself, this also affects all allies who are sensible to it."
Nuzzle,electric,Physical,1,Strength,,Dexterity,Brawl,Foe,Paralyze the foe.,"The Pokemon rubs its electrified cheeks against the foe, it looks very cute but it can be dangerous."
Overdrive,electric,Special,3,Special,,Dexterity,Perform,All Foes,All Foes in Range. Sound Based.,The Pokemon uses its own body as an amplifier for the energizing sounds it produces.
Parabolic Charge,electric,Special,2,Special,,Dexterity,Channel,Area,"The user restores HP equal to half the damage dealt to one target, rounded down.",The Pokemon lets go of a big electric charge from its body. The charge comes back to it even bigger.
Pika Papow,electric,Special,0,Special,Happiness,Dexterity,Channel,Foe,"Add 1 Die to the Damage Roll for every point of Happiness on the User. If the user of this Move is at its Final Stage of Evolution, this move fails.","The User lets out its energy in the form of a lightning strike, the happier the user feels the more energized it will be."
Plasma Fists,electric,Physical,4,Strength,,Dexterity,Brawl,Foe,"Fist Based. If successful, all Normal-Type Moves of the user will be considered Electric Type until the end of the Scene.","The user charges its fists with electricity, and upon impact the charge materializes into plasma that adds an electric element to all of its Normal moves."
Shock Wave,electric,Special,2,Special,,Dexterity,Channel,Foe,Never Fail.,The user quickly releases jolts of electricity that are too fast for many to react.
Spark,electric,Physical,2,Strength,,Dexterity,Brawl,Foe,Roll 3 Chance Dice to Paralyze the foe.,"The user tackles the foe, releasing a powerful spark on contact."
Thunder,electric,Special,5,Special,,Special,Channel,Foe,"Lethal. Roll 3 Chance Dice to Paralyze foe. If performed under Sunny Weather, Accuracy becomes -3 instead. If performed under Rain Weather, Ignore this Moves Reduced Accuracy. -2 Accuracy.",The Pokemon commands a tremendous lightning to strike a specific point on the ground. It's quite dangerous.
Thunder Fang,electric,Physical,2,Strength,,Dexterity,Brawl,Foe,Roll 2 Chance Dice to Flinch the foe. Roll 2 Chance Dice to Paralyze the foe.,The user lands an electrified bite on the foe. The direct current may affect the foe greatly.
Thunder Punch,electric,Physical,3,Strength,,Dexterity,Brawl,Foe,Fist Based. Roll 1 Chance Dice to Paralyze foe.,An Electrified punch to deal a shocking blow.
Thunder Shock,electric,Special,2,Special,,Dexterity,Channel,Foe,Roll 1 Chance Dice to Paralyze the foe.,A small electric attack that shocks the foe and may leave it with muscular cramps. Some electric devices hit by this attack will malfunction.
Thunder Wave,electric,Support,0,,,Insight,Nature,Foe,Paralyze the foe. -1 Accuracy.,A tide of bright lightning streams from the floor onto the foe. The target's body will be cramped for hours.
Thunderbolt,electric,Special,3,Special,,Dexterity,Channel,Foe,Roll 1 Chance Dice to Paralyze the foe.,A strong electric attack that shocks and harms the foe. It can destroy most kinds of electric equipment.
Volt Switch,electric,Special,2,Special,,Dexterity,Channel,Foe,The user switches out after dealing damage. The new Pokemon arrives ready to fight on the next Round. Switcher Move.,"The User quickly shoots an electic jolt, then switches places with an awaiting Pokemon partner at the speed of lightning."
Volt Tackle,electric,Physical,5,Strength,,Strength,Brawl,Foe,Recoil. Roll 1 Chance Dice to Paralyze the Foe.,"The user surrounds itself with big bolts of electricity, then it crashes against the foe."
Wild Charge,electric,Physical,3,Strength,,Dexterity,Brawl,Foe,Recoil.,"The Pokemon surrounds itself with wild botls of lightning, then tackles recklessly."
Zap Cannon,electric,Special,5,Special,,Dexterity,Channel,Foe,Lethal. Paralyze the Foe. -3 Accuracy.,The user hurls a dreadful bombardment of electric explosions. Anyone hit won't be able to move for a very long time.
Zing Zap,electric,Physical,3,Strength,,Dexterity,Brawl,Foe,Roll 3 Chance Dice to Flinch the Foe.,"The user hurls itself as a zig-zaging ball of electricity that explodes on contact, this leaves the foe unable to move for a few seconds."
Zippy Zap,electric,Physical,2,Strength,,Dexterity,Brawl,Foe,"Priority 2. This Move is always a Critical Hit and gets the proper Bonus for it. If the user of this Move is at its Final Stage of Evolution, this move fails.","The user zips and zaps from one place to another to strike the foe moving so fast it appears to be teleporting, leaving almost no time to react."
Aromatic Mist,fairy,Support,0,,,Insight,Nature,One Ally,Increase one Ally's Defense and Sp. Defense.,The Pokemon showers an ally in a mist with a revitalizing armoa.
Baby-Doll Eyes,fairy,Support,0,,,Cute,Allure,Foe,Priority 1. Reduce foe's Strength.,"Before anyone acts in battle, the user looks at the foe with the cutest eyes."
Charm,fairy,Support,0,,,Cute,Allure,Foe,Reduce foe's Strength by 2.,The Pokemon uses a cute and harmless attitude to make the foe less wary and aggresive.
Crafty Shield,fairy,Support,0,,,Insight,Nature,User and Allies,Priority 3. The User and its Allies are protected from the effects of a Support Move. Shield.,"The Pokemon creates a magic shield to protect everyone from the bad tricks a foe might have under its sleeve. Under this shield, everyone can see dishonesty and bad intentions."
Dazzling Gleam,fairy,Special,3,Special,,Dexterity,Channel,All Foes,-,The user shines a powerful flash that hurts the eyes of everyone watching it.
Decorate,fairy,Support,0,,,Beauty,Nature,One Ally,Increase the Strength and Special of One Ally by 2,"Using some frosting the Pokemon decorates their target to look bigger, more powerful, and incredibly delicious!"
Disarming Voice,fairy,Special,2,Special,,Insight,Perform,All Foes,Sound Based. Never Fail. Targets All foes in range.,"With a charming and manipulative cry, the user deals emotional damage to its opponent. This move always makes the target feel bad."
Draining Kiss,fairy,Special,2,Special,,Dexterity,Channel,Foe,"The User restores HP equal to half the damage dealt, rounded down.","The user sends a kiss with a flirty intention, the foe catches the kiss but it ends up draining the target's energy."
Fairy Lock,fairy,Support,0,,,Insight,Nature,Battlefield,Blocks. Last 1 Round.,The user moves as if locking a door. It takes a few moments before everyone realizes that they are not really trapped.
Fairy Wind,fairy,Special,2,Special,,Dexterity,Channel,Foe,-,The Pokemon strikes with a wind covered in fairy dust. It causes itching.
Fleur Cannon,fairy,Special,6,Special,,Special,Channel,Foe,Lethal. Reduce User's Special by 2. -1 Accuracy.,"A light beam pierces the battlefield, it deals devastating damage but leaves newly grown flowers instead of scorched earth. The user is left feeling very tired."
Floral Healing,fairy,Support,0,,,Insight,Nature,One Ally,Basic Heal. If performed over Grassy Terrain this move is a Complete Heal.,The user creates a flower crown that heals and relaxes its wearer. Under the right conditions this move also creates a flower patch around its target.
Flower Shield,fairy,Support,0,,,Insight,Nature,Battlefield,Increase the Defense of All Grass Type Pokemon on the field.,The Pokemon uses a mysterious power that causes flowers to bloom beneath every Grass Pokemon nearby. Flora in this field is more resilient and beautiful.
Geomancy,fairy,Support,0,,,Insight,Nature,User,"Charge Move. The user charges, then Increases by 2 its Dexterity, Special and Sp. Defense scores on its next Turn.",Through a mystical connection this Pokemon absorbs the life force of earth itself to increase its power.
Light Of Ruin,fairy,Special,6,Special,,Special,Channel,Foe,Lethal. Recoil. -1 Accuracy.,"By drawing energy from the Eternal Flower, the Pokemon unleashes all of its hurt. A beautiful light surrounds the area, yet the pain inside of its heart remains."
Misty Terrain,fairy,Support,0,,,Insight,Nature,Battlefield,Creatures standing on the battlefield won't be affected by Status Ailments. Dragon Type attacks won't add their Power to the Damage Pool. Lasts 4 Rounds.,The user surrounds the battlefield with a mystical mist that feels protective. Mythical Pokemon find something eerie about it.
Moonblast,fairy,Special,3,Special,,Special,Channel,Foe,Roll 3 Chance Dice to Reduce foe's Special.,Summon power directly from the moon. The Pokemon blasts the foe with light.
